Date,Open,High,Low,Close,Volume
2023-01-01,99.5,104.25,95.84,100.88,154886
2023-01-02,100.66,101.16,98.36,99.3,291335
2023-01-03,100.13,100.23,95.28,99.4,876997
2023-01-04,97.4,102.36,94.32,99.24,358795
2023-01-05,97.33,99.96,95.33,95.55,627035
2023-01-06,95.01,97.29,91.09,92.33,419030
2023-01-07,94.26,96.59,89.96,94.47,356840
2023-01-08,92.73,97.48,87.9,95.64,831912
2023-01-09,93.71,94.86,92.5,94.11,672843
2023-01-10,94.09,94.27,89.55,90.77,824839
2023-01-11,91.79,93.92,90.75,92.55,371836
2023-01-12,94.43,98.3,89.73,97.4,635822
2023-01-13,95.75,96.73,95.53,95.92,123247
2023-01-14,96.91,99.61,93.98,99.41,532315
2023-01-15,99.58,100.29,95.57,95.92,402918
2023-01-16,95.62,97.59,94.15,94.2,580754
2023-01-17,95.03,98.67,91.17,91.73,388998
2023-01-18,92.33,96.9,88.08,92.05,938688
2023-01-19,90.3,91.85,88.67,90.99,556551
2023-01-20,90.09,92.9,88.18,92.77,258338
2023-01-21,93.81,96.62,89.95,93.24,219176
2023-01-22,94.09,94.64,91.89,92.44,150015
2023-01-23,92.99,94.56,90.45,94.18,205878
2023-01-24,94.6,97.3,93.58,97.09,961882
2023-01-25,97.87,102.27,94.74,96.97,209556
2023-01-26,98.45,102.47,97.52,101.94,252906
2023-01-27,101.24,101.85,99.46,101.63,785440
2023-01-28,100.54,102.67,96.45,101.81,599046
2023-01-29,100.46,103.13,98.04,101.57,637833
2023-01-30,100.92,105.63,99.3,102.59,693128
2023-01-31,102.2,102.53,100.93,101.33,165318
2023-02-01,101.31,102.82,99.89,100.0,913168
2023-02-02,101.91,103.96,101.74,102.51,417824
2023-02-03,101.46,102.19,99.02,102.14,580671
2023-02-04,102.51,102.92,100.67,101.21,792517
2023-02-05,100.68,103.84,97.51,100.91,967055
2023-02-06,102.1,102.85,99.56,101.85,978338
2023-02-07,102.21,105.6,102.13,103.91,862002
2023-02-08,103.3,103.78,98.6,100.66,843974
2023-02-09,102.41,103.1,100.7,100.97,671542
2023-02-10,101.14,104.62,100.0,100.81,207512
2023-02-11,100.87,102.18,95.89,101.96,907364
2023-02-12,103.56,106.73,101.87,103.56,639439
2023-02-13,104.95,109.23,102.93,108.52,522515
2023-02-14,106.86,107.67,102.37,105.58,803714
2023-02-15,105.07,109.77,100.2,102.92,907789
2023-02-16,103.12,106.57,99.86,101.36,190272
2023-02-17,99.43,101.9,98.54,99.77,228391
2023-02-18,101.17,104.46,98.33,98.9,271890
2023-02-19,99.45,100.7,96.5,100.61,829650
2023-02-20,102.18,105.34,98.21,101.79,469599
2023-02-21,103.25,104.4,100.75,102.84,996048
2023-02-22,101.01,105.98,98.66,100.71,929957
2023-02-23,100.19,100.27,95.55,97.57,538452
2023-02-24,97.86,102.76,97.48,99.09,368246
2023-02-25,98.17,100.59,96.3,98.0,465890
2023-02-26,98.28,98.76,95.2,98.73,922209
2023-02-27,97.74,99.22,96.13,98.75,730152
2023-02-28,99.56,101.36,98.1,100.74,335362
2023-03-01,99.76,102.82,99.36,99.37,997059
2023-03-02,100.57,103.82,97.06,102.44,584299
2023-03-03,103.98,104.12,101.09,102.42,749150
2023-03-04,100.56,102.89,97.85,99.29,155609
2023-03-05,100.73,101.99,100.54,100.98,561243
2023-03-06,100.29,104.42,98.93,104.23,711523
2023-03-07,105.6,106.57,103.54,105.66,827975
2023-03-08,106.57,111.45,103.99,106.4,186672
2023-03-09,105.99,108.16,102.27,103.75,132217
